Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
NVDA,2021-11-17 16:21:00,30,-0.14566357673871216,0.0576,1.11,1.17
NVDA,2021-08-18 16:20:00,1,0.038478410590357434,0.025099999999999997,1.01,1.04
NVDA,2021-08-18 16:20:00,2,0.07988597414757734,0.025099999999999997,1.01,1.04
NVDA,2021-08-18 16:20:00,5,0.08190752258162336,0.025099999999999997,1.01,1.04
NVDA,2021-08-18 16:20:00,10,0.06716760761621808,0.025099999999999997,1.01,1.04
NVDA,2021-08-18 16:20:00,30,0.06439666899400212,0.025099999999999997,1.01,1.04
GOOGL,2025-02-04 16:04:00,1,-0.00508437799919135,0.0104,2.13,2.15
GOOGL,2025-02-04 16:04:00,2,-0.02802897362547297,0.0104,2.13,2.15
GOOGL,2025-02-04 16:04:00,5,-0.04863945282240113,0.0104,2.13,2.15
GOOGL,2025-02-04 16:04:00,10,-0.0666462774289355,0.0104,2.13,2.15
GOOGL,2025-02-04 16:04:00,30,-0.09244566068748906,0.0104,2.13,2.15
GOOGL,2024-10-29 16:03:00,1,0.0041560261190134624,0.1487,1.85,2.12
GOOGL,2024-10-29 16:03:00,2,0.0023829596698231427,0.1487,1.85,2.12
GOOGL,2024-10-29 16:03:00,5,-0.0011324315828113163,0.1487,1.85,2.12
GOOGL,2024-10-29 16:03:00,10,0.011300077071418632,0.1487,1.85,2.12
GOOGL,2024-10-29 16:03:00,30,-0.017443671223117612,0.1487,1.85,2.12
GOOGL,2024-07-23 16:09:00,1,-0.025388557092776404,0.024700000000000003,1.84,1.89
GOOGL,2024-07-23 16:09:00,2,-0.04358809997501549,0.024700000000000003,1.84,1.89
GOOGL,2024-07-23 16:09:00,5,-0.03671374186710492,0.024700000000000003,1.84,1.89
GOOGL,2024-07-23 16:09:00,10,-0.037686865343919206,0.024700000000000003,1.84,1.89
GOOGL,2024-07-23 16:09:00,30,-0.12916097779487268,0.024700000000000003,1.84,1.89
GOOGL,2024-04-25 16:01:00,1,-0.038455215595905354,0.2477,1.51,1.89
GOOGL,2024-04-25 16:01:00,2,-0.039806774597590557,0.2477,1.51,1.89
GOOGL,2024-04-25 16:01:00,5,-0.037682185298669554,0.2477,1.51,1.89
GOOGL,2024-04-25 16:01:00,10,-0.055768210928005504,0.2477,1.51,1.89
GOOGL,2024-04-25 16:01:00,30,-0.04776972618379599,0.2477,1.51,1.89
GOOGL,2024-01-30 16:00:00,1,-0.008739775920999449,0.0298,1.59,1.64
GOOGL,2024-01-30 16:00:00,2,-0.01396308387503135,0.0298,1.59,1.64
GOOGL,2024-01-30 16:00:00,5,-0.0002207583551862265,0.0298,1.59,1.64
GOOGL,2024-01-30 16:00:00,10,0.003947662146003764,0.0298,1.59,1.64
GOOGL,2024-01-30 16:00:00,30,-0.1034421898293582,0.0298,1.59,1.64
GOOGL,2023-10-24 16:00:00,1,-0.012891705720115543,0.0684,1.45,1.55
GOOGL,2023-10-24 16:00:00,2,-0.009587761433133085,0.0684,1.45,1.55
GOOGL,2023-10-24 16:00:00,5,-0.020282558728411965,0.0684,1.45,1.55
GOOGL,2023-10-24 16:00:00,10,-0.034791001002077215,0.0684,1.45,1.55
GOOGL,2023-10-24 16:00:00,30,-0.07516660868716686,0.0684,1.45,1.55
GOOGL,2023-07-25 16:01:00,1,0.0076554482104833795,0.0754,1.34,1.44
GOOGL,2023-07-25 16:01:00,2,0.021022969055284314,0.0754,1.34,1.44
GOOGL,2023-07-25 16:01:00,5,0.00447356072870627,0.0754,1.34,1.44
GOOGL,2023-07-25 16:01:00,10,0.02394219188495717,0.0754,1.34,1.44
GOOGL,2023-07-25 16:01:00,30,0.04923982602509302,0.0754,1.34,1.44
